sale_price,garage_area,neighborhood,ms_sub_class,total_bsmt_sf,bsmt_qual,central_air,tot_rms_abv_grd,fireplaces,fireplace_qu
105000,730,names,020,882,ta,y,5,0,no_fireplace
126000,525,names,020,882,ta,y,4,0,no_fireplace
115000,0,names,020,864,ta,y,5,1,po
127500,440,npkvill,120,1069,gd,y,4,1,fa
120000,308,npkvill,120,836,gd,y,4,0,no_fireplace
99500,264,sawyerw,120,918,gd,y,5,1,ta
125000,264,sawyerw,120,744,gd,y,4,0,no_fireplace
67500,429,sawyerw,030,816,ta,n,5,0,no_fireplace
112000,539,sawyer,090,0,no_bsmt,y,8,0,no_fireplace
127000,260,sawyer,020,1040,ta,y,6,0,no_fireplace
128950,0,names,020,950,ta,y,6,0,no_fireplace
84900,0,names,090,1728,ta,y,10,0,no_fireplace
116500,0,brkside,020,858,ta,y,4,0,no_fireplace
76500,0,brkside,030,728,ta,y,6,0,no_fireplace
128000,280,names,020,1056,ta,y,6,0,no_fireplace
108538,312,names,020,1206,ta,y,6,0,no_fireplace
122500,305,names,020,972,ta,y,5,0,no_fireplace
129000,308,names,020,936,ta,y,4,0,no_fireplace
107400,379,oldtown,050,840,fa,n,8,0,no_fireplace
119000,240,oldtown,045,827,gd,y,6,0,no_fireplace
100000,315,oldtown,050,1008,ta,y,6,0,no_fireplace
105900,484,oldtown,030,624,ta,y,5,0,no_fireplace
123900,624,brkside,050,528,ta,y,5,0,no_fireplace
109500,288,oldtown,030,1124,fa,y,5,1,gd
110000,516,idotrr,090,816,gd,n,5,0,no_fireplace
55000,0,idotrr,190,0,no_bsmt,n,7,0,no_fireplace
107500,180,clearcr,050,689,gd,n,6,0,no_fireplace
95000,231,swisu,050,600,fa,n,5,0,no_fireplace
93369,0,swisu,070,707,ta,n,7,0,no_fireplace
94000,0,sawyer,050,780,ta,n,6,0,no_fireplace
121500,528,sawyer,020,1392,gd,y,5,1,gd
125000,336,sawyer,020,912,ta,y,5,1,fa
85000,440,sawyer,030,660,fa,n,4,0,no_fireplace
83000,366,edwards,030,458,ta,n,5,0,no_fireplace
127000,209,edwards,050,756,ta,y,8,1,ta
114000,504,edwards,020,1250,ta,y,5,0,no_fireplace
84900,240,edwards,030,0,no_bsmt,n,5,0,no_fireplace
125200,352,edwards,080,1008,ta,y,5,1,fa
107000,672,edwards,080,1029,ta,y,6,1,ta
90000,0,edwards,020,960,ta,y,5,0,no_fireplace
80000,280,edwards,190,672,gd,n,5,0,no_fireplace
58500,200,edwards,030,864,ta,n,5,0,no_fireplace
127000,308,swisu,050,1026,ta,y,6,1,gd
126000,399,swisu,030,856,ta,y,4,1,gd
100000,0,swisu,050,894,ta,y,7,1,gd
82000,200,idotrr,030,480,ta,y,4,0,no_fireplace
68400,528,idotrr,050,698,ta,y,6,0,no_fireplace
102776,384,idotrr,050,859,ta,y,7,0,no_fireplace
55993,504,idotrr,020,540,ta,n,4,0,no_fireplace
83500,286,meadowv,160,546,ta,y,6,0,no_fireplace
85000,336,meadowv,160,536,gd,y,4,0,no_fireplace
76000,0,meadowv,160,546,ta,y,5,0,no_fireplace
75500,0,meadowv,180,630,gd,y,3,0,no_fireplace
88250,0,meadowv,160,546,ta,y,5,0,no_fireplace
85500,286,meadowv,160,546,ta,y,5,0,no_fireplace
124500,502,names,020,882,fa,y,5,0,no_fireplace
82500,544,nwames,020,1386,ta,y,6,1,ta
128000,477,names,020,1180,ta,y,6,0,no_fireplace
120500,660,names,020,864,ta,y,5,0,no_fireplace
124500,463,names,020,864,ta,y,5,0,no_fireplace
97000,576,names,020,864,ta,y,4,0,no_fireplace
111000,264,brdale,160,483,ta,y,5,0,no_fireplace
112000,280,brdale,160,630,ta,y,6,0,no_fireplace
97000,288,brdale,160,483,ta,y,5,0,no_fireplace
119500,264,brdale,160,630,ta,y,6,0,no_fireplace
123000,440,npkvill,120,1057,gd,y,4,1,fa
100000,288,names,020,892,ta,y,5,0,no_fireplace
122000,440,sawyer,020,864,ta,y,5,0,no_fireplace
62383,360,sawyer,020,864,ta,y,5,1,po
123000,252,sawyer,020,912,ta,y,6,0,no_fireplace
118000,308,names,020,864,ta,y,5,0,no_fireplace
124500,270,names,020,1041,ta,y,6,0,no_fireplace
82500,0,brkside,030,420,ta,y,5,0,no_fireplace
110000,352,brkside,050,709,ta,y,5,1,ta
128900,338,names,020,1050,ta,y,5,0,no_fireplace
124000,792,names,090,1584,ta,y,8,0,no_fireplace
104900,368,names,050,715,ta,y,7,1,gd
102900,616,names,020,0,no_bsmt,y,7,0,no_fireplace
109500,240,oldtown,030,768,ta,y,5,0,no_fireplace
78500,320,oldtown,030,630,ta,y,4,0,no_fireplace
92900,400,names,090,0,no_bsmt,n,6,0,no_fireplace
128500,900,names,050,795,ta,n,5,0,no_fireplace
128000,294,names,020,1041,ta,y,6,0,no_fireplace
109500,308,names,020,894,ta,n,5,0,no_fireplace
110000,440,oldtown,050,440,ta,y,5,0,no_fireplace
128900,162,oldtown,050,901,ta,y,6,0,no_fireplace
129000,0,oldtown,070,504,ta,y,7,0,no_fireplace
94550,0,oldtown,190,600,fa,n,8,0,no_fireplace
124500,400,oldtown,090,960,ta,y,10,0,no_fireplace
103000,0,oldtown,050,801,fa,n,6,0,no_fireplace
129500,308,oldtown,050,768,ta,y,6,0,no_fireplace
93000,256,oldtown,190,811,ta,y,7,0,no_fireplace
80000,288,oldtown,030,861,fa,y,5,0,no_fireplace
45000,308,oldtown,030,0,no_bsmt,n,4,0,no_fireplace
37900,0,oldtown,050,600,ta,n,6,0,no_fireplace
