"sale_price","garage_area","neighborhood","ms_sub_class","total_bsmt_sf","bsmt_qual","central_air","tot_rms_abv_grd","fireplaces","fireplace_qu","gr_liv_area","lot_area","year_built","overall_qual","garage_cars","garage_qual","ms_zoning","lot_config","bldg_type"
105000,730,"n_ames",20,882,"ta","y",5,0,"none",896,11622,1961,5,1,"ta","rh","inside","one_fam"
172000,312,"n_ames",20,1329,"ta","y",6,0,"none",1329,14267,1958,6,1,"ta","rl","corner","one_fam"
189900,482,"gilbert",60,928,"gd","y",6,1,"ta",1629,13830,1997,5,2,"ta","rl","inside","one_fam"
213500,582,"stone_br",120,1338,"gd","y",6,0,"none",1338,4920,2001,8,2,"ta","rl","inside","twhs_ext"
191500,506,"stone_br",120,1280,"gd","y",5,0,"none",1280,5005,1992,8,2,"ta","rl","inside","twhs_ext"
236500,608,"stone_br",120,1595,"gd","y",5,1,"ta",1616,5389,1995,8,2,"ta","rl","inside","twhs_ext"
189000,442,"gilbert",60,994,"ta","y",7,1,"ta",1804,7500,1999,7,2,"ta","rl","inside","one_fam"
180400,393,"gilbert",60,789,"gd","y",7,1,"gd",1465,8402,1998,6,2,"ta","rl","inside","one_fam"
171500,506,"gilbert",20,1300,"gd","y",5,1,"po",1341,10176,1990,7,2,"ta","rl","inside","one_fam"
212000,528,"stone_br",120,1488,"gd","y",4,0,"none",1502,6820,1985,8,2,"ta","rl","corner","twhs_ext"
538000,841,"stone_br",60,1650,"gd","y",12,1,"gd",3279,53504,2003,8,3,"ta","rl","cul_d_sac","one_fam"
164000,492,"gilbert",50,559,"gd","y",8,0,"none",1752,12134,1988,8,2,"ta","rl","inside","one_fam"
394432,834,"stone_br",20,1856,"ex","y",8,1,"ex",1856,11394,2010,9,3,"ta","rl","corner","one_fam"
141000,400,"gilbert",20,864,"ta","y",4,0,"none",864,19138,1951,4,2,"ta","rl","corner","one_fam"
210000,500,"nw_ames",20,1542,"gd","y",7,2,"ta",2073,13175,1978,6,2,"ta","rl","inside","one_fam"
190000,546,"nw_ames",20,1844,"gd","y",7,1,"ta",1844,11751,1977,6,2,"ta","rl","inside","one_fam"
216000,663,"somerst",60,814,"gd","y",7,0,"none",1674,7500,2000,7,2,"ta","fv","inside","one_fam"
149000,480,"n_ames",20,1004,"ta","y",5,1,"ta",1004,11241,1970,6,2,"ta","rl","cul_d_sac","one_fam"
