pid,ms_sub_class,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_sf_1,bsmt_fin_type_2,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,x1st_flr_sf,x2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,x3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,sale_price
x0526301100,x020,rl,141,31770,pave,none,ir1,lvl,all_pub,corner,gtl,n_ames,norm,norm,one_fam,x1story,6,5,1960,1960,hip,comp_shg,brk_face,plywood,stone,112,ta,ta,c_block,ta,gd,gd,blq,639,unf,0,441,1080,gas_a,fa,y,s_brkr,1656,0,0,1656,1,0,1,0,3,1,ta,7,typ,2,gd,attchd,1960,fin,2,528,ta,ta,p,210,62,0,0,0,0,none,none,none,0,5,2010,wd,normal,215000
x0526350040,x020,rh,80,11622,pave,none,reg,lvl,all_pub,inside,gtl,n_ames,feedr,norm,one_fam,x1story,5,6,1961,1961,gable,comp_shg,vinyl_sd,vinyl_sd,none,0,ta,ta,c_block,ta,ta,no,rec,468,lw_q,144,270,882,gas_a,ta,y,s_brkr,896,0,0,896,0,0,1,0,2,1,ta,5,typ,0,none,attchd,1961,unf,1,730,ta,ta,y,140,0,0,0,120,0,none,mn_prv,none,0,6,2010,wd,normal,105000
x0526351010,x020,rl,81,14267,pave,none,ir1,lvl,all_pub,corner,gtl,n_ames,norm,norm,one_fam,x1story,6,6,1958,1958,hip,comp_shg,wd_sdng,wd_sdng,brk_face,108,ta,ta,c_block,ta,ta,no,alq,923,unf,0,406,1329,gas_a,ta,y,s_brkr,1329,0,0,1329,0,0,1,1,3,1,gd,6,typ,0,none,attchd,1958,unf,1,312,ta,ta,y,393,36,0,0,0,0,none,none,gar2,12500,6,2010,wd,normal,172000
x0527105010,x060,rl,74,13830,pave,none,ir1,lvl,all_pub,inside,gtl,gilbert,norm,norm,one_fam,x2story,5,5,1997,1998,gable,comp_shg,vinyl_sd,vinyl_sd,none,0,ta,ta,p_conc,gd,ta,no,glq,791,unf,0,137,928,gas_a,gd,y,s_brkr,928,701,0,1629,0,0,2,1,3,1,ta,6,typ,1,ta,attchd,1997,fin,2,482,ta,ta,y,212,34,0,0,0,0,none,mn_prv,none,0,3,2010,wd,normal,189900
x0527127150,x120,rl,41,4920,pave,none,reg,lvl,all_pub,inside,gtl,stone_br,norm,norm,twhs_ext,x1story,8,5,2001,2001,gable,comp_shg,cemnt_bd,cment_bd,none,0,gd,ta,p_conc,gd,ta,mn,glq,616,unf,0,722,1338,gas_a,ex,y,s_brkr,1338,0,0,1338,1,0,2,0,2,1,gd,6,typ,0,none,attchd,2001,fin,2,582,ta,ta,y,0,0,170,0,0,0,none,none,none,0,4,2010,wd,normal,213500
x0527145080,x120,rl,43,5005,pave,none,ir1,hls,all_pub,inside,gtl,stone_br,norm,norm,twhs_ext,x1story,8,5,1992,1992,gable,comp_shg,hd_board,hd_board,none,0,gd,ta,p_conc,gd,ta,no,alq,263,unf,0,1017,1280,gas_a,ex,y,s_brkr,1280,0,0,1280,0,0,2,0,2,1,gd,5,typ,0,none,attchd,1992,r_fn,2,506,ta,ta,y,0,82,0,0,144,0,none,none,none,0,1,2010,wd,normal,191500
x0527146030,x120,rl,39,5389,pave,none,ir1,lvl,all_pub,inside,gtl,stone_br,norm,norm,twhs_ext,x1story,8,5,1995,1996,gable,comp_shg,cemnt_bd,cment_bd,none,0,gd,ta,p_conc,gd,ta,no,glq,1180,unf,0,415,1595,gas_a,ex,y,s_brkr,1616,0,0,1616,1,0,2,0,2,1,gd,5,typ,1,ta,attchd,1995,r_fn,2,608,ta,ta,y,237,152,0,0,0,0,none,none,none,0,3,2010,wd,normal,236500
x0527162130,x060,rl,60,7500,pave,none,reg,lvl,all_pub,inside,gtl,gilbert,norm,norm,one_fam,x2story,7,5,1999,1999,gable,comp_shg,vinyl_sd,vinyl_sd,none,0,ta,ta,p_conc,ta,ta,no,unf,0,unf,0,994,994,gas_a,gd,y,s_brkr,1028,776,0,1804,0,0,2,1,3,1,gd,7,typ,1,ta,attchd,1999,fin,2,442,ta,ta,y,140,60,0,0,0,0,none,none,none,0,6,2010,wd,normal,189000
x0527163010,x060,rl,75,10000,pave,none,ir1,lvl,all_pub,corner,gtl,gilbert,norm,norm,one_fam,x2story,6,5,1993,1994,gable,comp_shg,hd_board,hd_board,none,0,ta,ta,p_conc,gd,ta,no,unf,0,unf,0,763,763,gas_a,gd,y,s_brkr,763,892,0,1655,0,0,2,1,3,1,ta,7,typ,1,ta,attchd,1993,fin,2,440,ta,ta,y,157,84,0,0,0,0,none,none,none,0,4,2010,wd,normal,175900
x0527166040,x060,rl,63,8402,pave,none,ir1,lvl,all_pub,inside,gtl,gilbert,norm,norm,one_fam,x2story,6,5,1998,1998,gable,comp_shg,vinyl_sd,vinyl_sd,none,0,ta,ta,p_conc,gd,ta,no,unf,0,unf,0,789,789,gas_a,gd,y,s_brkr,789,676,0,1465,0,0,2,1,3,1,ta,7,typ,1,gd,attchd,1998,fin,2,393,ta,ta,y,0,75,0,0,0,0,none,none,none,0,5,2010,wd,normal,180400
x0527180040,x020,rl,85,10176,pave,none,reg,lvl,all_pub,inside,gtl,gilbert,norm,norm,one_fam,x1story,7,5,1990,1990,gable,comp_shg,hd_board,hd_board,none,0,ta,ta,p_conc,gd,ta,gd,glq,637,unf,0,663,1300,gas_a,gd,y,s_brkr,1341,0,0,1341,1,0,1,1,2,1,gd,5,typ,1,po,attchd,1990,unf,2,506,ta,ta,y,192,0,0,0,0,0,none,none,none,0,2,2010,wd,normal,171500
x0527182190,x120,rl,NA,6820,pave,none,ir1,lvl,all_pub,corner,gtl,stone_br,norm,norm,twhs_ext,x1story,8,5,1985,1985,gable,comp_shg,hd_board,hd_board,none,0,gd,ta,p_conc,gd,ta,av,glq,368,blq,1120,0,1488,gas_a,ta,y,s_brkr,1502,0,0,1502,1,0,1,1,1,1,gd,4,typ,0,none,attchd,1985,r_fn,2,528,ta,ta,y,0,54,0,0,140,0,none,none,none,0,6,2010,wd,normal,212000
x0527216070,x060,rl,47,53504,pave,none,ir2,hls,all_pub,cul_d_sac,mod,stone_br,norm,norm,one_fam,x2story,8,5,2003,2003,hip,comp_shg,cemnt_bd,wd_shng,brk_face,603,ex,ta,p_conc,gd,ta,gd,alq,1416,unf,0,234,1650,gas_a,ex,y,s_brkr,1690,1589,0,3279,1,0,3,1,4,1,ex,12,mod,1,gd,built_in,2003,fin,3,841,ta,ta,y,503,36,0,0,210,0,none,none,none,0,6,2010,wd,normal,538000
x0527225035,x050,rl,152,12134,pave,none,ir1,bnk,all_pub,inside,mod,gilbert,norm,norm,one_fam,x1_5fin,8,7,1988,2005,gable,comp_shg,wd_sdng,wd_sdng,none,0,gd,ta,wood,gd,ta,av,glq,427,unf,0,132,559,gas_a,gd,y,s_brkr,1080,672,0,1752,0,0,2,0,4,1,ta,8,typ,0,none,basment,1988,r_fn,2,492,ta,ta,y,325,12,0,0,0,0,none,none,none,0,6,2010,wd,normal,164000
x0527258010,x020,rl,88,11394,pave,none,reg,lvl,all_pub,corner,gtl,stone_br,norm,norm,one_fam,x1story,9,2,2010,2010,hip,comp_shg,vinyl_sd,vinyl_sd,stone,350,gd,ta,p_conc,ex,ta,av,glq,1445,unf,0,411,1856,gas_a,ex,y,s_brkr,1856,0,0,1856,1,0,1,1,1,1,ex,8,typ,1,ex,attchd,2010,fin,3,834,ta,ta,y,113,0,0,0,0,0,none,none,none,0,6,2010,new,partial,394432
x0527276150,x020,rl,140,19138,pave,none,reg,lvl,all_pub,corner,gtl,gilbert,norm,norm,one_fam,x1story,4,5,1951,1951,gable,comp_shg,vinyl_sd,vinyl_sd,none,0,ta,ta,c_block,ta,ta,no,lw_q,120,unf,0,744,864,gas_a,ex,y,s_brkr,864,0,0,864,0,0,1,0,2,1,ta,4,typ,0,none,detchd,1951,unf,2,400,ta,ta,y,0,0,0,0,0,0,none,none,none,0,6,2010,wd,normal,141000
x0527302110,x020,rl,85,13175,pave,none,reg,lvl,all_pub,inside,gtl,nw_ames,norm,norm,one_fam,x1story,6,6,1978,1988,gable,comp_shg,plywood,plywood,stone,119,ta,ta,c_block,gd,ta,no,alq,790,rec,163,589,1542,gas_a,ta,y,s_brkr,2073,0,0,2073,1,0,2,0,3,1,ta,7,min1,2,ta,attchd,1978,unf,2,500,ta,ta,y,349,0,0,0,0,0,none,mn_prv,none,0,2,2010,wd,normal,210000
