name,nationality,age,weight,dribbling,interceptions,heading_accuracy,reactions,balance,jumping,stamina,strength,composure,preferred_foot,international_reputation,work_rate,position,overall
j_george,germany,25,165,73,21,59,67,85,61,83,72,59,right,1,high_medium,am,69
j_abu_hanna,germany,20,176,46,58,60,57,66,77,60,77,48,left,1,medium_medium,df,63
n_stefanelli,argentina,24,157,70,39,55,60,92,91,73,55,56,right,1,medium_high,st,67
b_sigur_af_a_arson,iceland,27,190,73,42,68,74,76,78,90,85,76,right,1,high_high,st,73
f_torijano,colombia,29,161,37,68,76,65,62,75,64,76,58,right,1,medium_medium,df,70
b_meredith,united_states,28,207,15,17,13,54,41,61,39,80,41,right,1,medium_medium,gk,61
c_walsh,republic_of_ireland,17,181,29,43,53,43,60,51,46,54,46,right,1,low_medium,df,50
bruno_alves,portugal,36,179,64,63,74,63,61,88,64,88,78,right,2,medium_medium,df,71
b_a_af_a_or,venezuela,30,161,66,65,61,57,69,72,77,64,61,left,1,medium_medium,mf,64
j_vergara_berrio,netherlands,19,152,62,34,40,56,73,51,58,52,60,right,1,medium_medium,mf,59
y_ayoub,morocco,24,154,79,68,52,74,91,40,80,69,78,left,1,medium_medium,mf,75
a_gunnarsson,iceland,29,190,66,77,68,71,72,73,71,72,65,right,1,medium_high,mf,73
r_de_boer,netherlands,20,192,19,25,12,68,54,58,32,58,52,right,1,medium_medium,gk,67
burgui,spain,24,165,78,38,55,72,63,56,78,62,69,right,1,medium_low,mf,75
r_harley,england,33,154,62,49,54,61,79,82,71,59,62,right,1,medium_medium,mf,61
m_higashiguchi,japan,32,172,8,12,11,73,46,59,45,68,26,right,1,medium_medium,gk,72
vin_af_a_cius,brazil,23,183,65,16,70,65,45,66,66,77,71,left,1,high_low,st,68
d_siovas,greece,29,183,62,79,68,66,48,77,81,87,68,left,2,medium_high,df,72
d_cvitanich,argentina,34,159,70,33,79,74,79,81,69,75,77,right,2,high_low,st,77
q_la_af_a_i,albania,22,176,65,43,51,60,67,72,73,59,60,right,1,medium_medium,am,66
lee_keun_ho,korea_republic,22,170,64,19,66,67,55,58,65,77,48,right,1,high_medium,am,64
j_barjonas,scotland,19,159,60,44,51,54,79,62,36,58,55,right,1,medium_medium,mf,57
r_vloet,netherlands,23,165,65,33,66,66,63,67,74,73,61,right,1,high_medium,am,67
c_roma_af_a_a,colombia,18,165,20,53,42,42,65,72,60,58,43,right,1,medium_high,df,51
e_lichaj,united_states,29,176,65,67,57,69,79,73,80,66,50,right,1,high_high,df,69
k_taimi,finland,26,187,50,54,65,49,42,61,56,76,36,right,1,medium_high,df,55
r_isomura,japan,27,161,50,43,33,57,62,78,76,75,31,right,1,low_medium,mf,58
s_van_beek,netherlands,23,168,44,74,76,70,54,70,68,77,66,right,1,low_medium,df,75
wang_ziming,china_pr,21,168,50,20,55,53,72,61,59,71,51,right,1,medium_medium,st,56
t_teuma,france,24,161,72,39,50,55,71,57,64,62,65,left,1,high_medium,dm,68
j_krasniqi,kosovo,23,163,57,61,52,55,64,62,75,63,57,right,1,medium_medium,df,57
ricardo_pereira,portugal,24,154,83,79,64,81,77,74,84,60,81,right,3,high_high,df,81
p_bauer,germany,25,194,38,73,69,57,34,30,51,90,67,right,1,medium_medium,df,70
douglas_costa,brazil,27,154,92,48,50,84,91,61,78,63,84,left,3,high_medium,mf,86
k_mooney,england,19,150,53,19,59,55,57,66,56,41,47,right,1,medium_medium,st,53
b_kuipers,netherlands,23,163,57,60,58,61,74,70,70,65,67,left,1,medium_medium,df,64
m_jay,england,22,141,60,23,48,50,83,55,70,43,47,right,1,medium_high,st,57
s_zwierschitz,austria,27,165,58,64,59,62,56,74,68,69,49,right,1,medium_medium,df,65
f_lepore,italy,32,161,60,59,48,65,73,55,75,59,63,right,1,high_medium,df,63
guerrero,spain,27,168,70,32,78,75,71,69,74,62,81,right,1,high_high,st,74
juan_jesus,brazil,27,183,60,77,74,72,58,88,75,82,72,left,2,low_high,df,77
a_erceg,croatia,28,168,64,19,61,57,67,61,67,65,61,right,1,high_high,st,65
strefezza,brazil,21,148,58,16,31,55,51,32,35,36,43,right,1,high_low,am,54
zeca,greece,29,148,72,77,55,80,76,65,90,70,77,right,1,high_high,dm,75
h_cavero,chile,22,157,58,58,63,51,54,74,74,77,64,left,1,medium_medium,df,63
a_oteh,england,19,161,53,16,57,51,57,68,58,69,48,right,1,medium_medium,st,58
g_vargas,chile,34,163,60,18,76,68,59,76,70,67,59,right,1,medium_low,st,68
t_hopper,england,24,168,57,17,63,63,64,79,72,76,64,left,1,high_medium,st,65
j_rowland,england,16,143,55,26,39,56,88,50,46,41,52,right,1,medium_medium,am,51
jonas_damasto,brazil,34,152,61,67,59,67,57,71,86,58,63,left,1,high_low,df,72
c_levingston,republic_of_ireland,20,163,49,46,37,48,68,65,64,46,42,left,1,medium_medium,mf,49
b_schenkeveld,netherlands,26,183,62,69,56,67,64,63,72,79,60,right,1,medium_medium,df,70
k_chiba,japan,33,170,39,61,74,55,57,81,56,77,71,right,1,medium_high,df,66
a_d_af_a_az,mexico,18,132,63,20,49,39,90,42,61,33,49,right,1,medium_low,am,57
maicon_sampinho,brazil,26,179,73,24,45,73,55,55,66,67,65,right,1,medium_medium,st,63
i_bel_hassani,morocco,25,159,73,42,46,63,77,60,51,60,68,left,1,medium_low,am,70
b_nieuwkoop,netherlands,22,159,64,66,66,65,70,84,75,70,65,right,1,high_medium,df,70
c_trueman,england,22,165,21,23,23,56,65,55,35,40,33,right,1,medium_medium,gk,65
c_krempicki,germany,23,163,61,49,45,59,78,60,89,73,59,right,1,high_high,am,62
s_pedersen,norway,19,152,54,18,56,56,72,62,59,48,50,left,1,medium_low,st,56
j_bartkowski,poland,26,163,55,60,42,53,71,66,75,63,59,right,1,high_high,df,64
j_duverne,france,20,157,55,66,67,61,68,73,68,67,63,right,1,medium_medium,df,67
b_horton,england,17,165,53,51,41,52,40,59,61,48,33,left,1,medium_medium,df,50
v_fischer,denmark,24,176,79,34,49,70,75,56,80,66,74,right,2,high_medium,mf,77
jota,spain,27,154,72,29,43,68,69,48,62,61,66,left,1,high_low,mf,72
t_lee,japan,32,161,61,56,60,60,60,67,61,65,64,left,2,high_medium,st,64
a_zendejas,mexico,20,143,70,40,43,56,81,60,62,41,52,left,1,medium_medium,mf,60
j_huentelaf,chile,29,161,70,15,64,57,73,59,70,70,51,right,1,high_low,am,68
c_beauvue,france,30,146,75,43,87,63,74,78,39,62,61,right,1,medium_high,am,75
k_al_samiri,saudi_arabia,21,128,64,58,53,59,88,62,67,58,55,right,1,high_medium,mf,63
rui_silva,portugal,22,150,64,66,53,62,70,68,68,50,55,right,1,high_medium,df,66
m_sperduti,argentina,32,161,74,33,62,73,64,38,72,73,69,right,1,high_medium,mf,73
a_la_gumina,italy,22,172,66,31,65,66,74,64,61,69,63,right,1,high_high,st,68
m_ort_af_a_z,argentina,23,141,67,30,50,56,78,53,58,36,63,right,1,medium_low,am,64
a_dona_ndoh,cameroon,32,176,67,15,72,64,51,62,72,81,73,right,1,high_low,st,70
b_andr_af_a_c,france,27,168,75,73,74,76,72,85,81,77,76,right,2,medium_high,dm,77
a_ramos,chile,26,154,69,33,56,67,84,65,69,75,64,right,1,high_low,st,69
loureiro,spain,21,168,63,62,62,65,81,58,68,69,50,right,1,medium_low,df,65
l_angulo,colombia,22,154,65,64,50,64,67,76,78,78,58,right,1,medium_medium,mf,66
