id,user_drinking,text
471711578795278340,no,"""@ShigDollaz: Shot Dollaz We Got Back Wit Ya! Fuck Yo Leg Up Now You Will Never Run Again""ayyy"
464553997081526300,yes,Chris is my DD while I drink by myself Wednesday afternoon and get WASTED celebrating the end of this semester.. #seniorbarcrawl ?
468094822109036540,no,Only inviting fam to my grad party cause im tryna rack in that $$$$ to pay for tuition 😂😂😂✋💃
470353913011380200,yes,N/A
4.6261785855265997e+017,no,"Straight from the airport.  When in Rome... er, Rochester! (@ Dinosaur Bar-B-Que - @dinobbq) http://t.co/s14oEOirvf"
463047413549105150,no,"@joey_mondoo Honestly I wouldn't be surprised if they won or lost the series. I would be OK with defeat, but the Nets do have a good shot."
468906415634251800,no,"Welcome to Sunnyside Lodge at Black Creek Park, the home of my graduation party June 28th! http://t.co/eq59vLM0rw"
463010595076202500,no,"""@NatTheBeautiful: Our generation jus got life fucked up period""deadass"
464583360711774200,no,N/A
469317748267700200,no,N/A
462638288470171650,no,N/A
464237262713024500,no,@kidkozay I know haha it's funny watching him continueing to go right and keep getting stopped then just chucking up a shot
469894671511334900,yes,I need to turn up tonight! 🍹🍷🍻
4.7073363448040243e+017,yes,N/A
467177534095106050,yes,There's nothing like my own bed after 3 bottles or so of wine. #winedrunk #happydrunk #thursday
468163034280902660,yes,Drinking a Sixty-One by @dogfishbeer @ World Of Beer — http://t.co/4CHKAzRJG9
468050245503295500,no,N/A
462743777774272500,yes,N/A
467881386817617900,no,Yonce all on his mouth like liquor
466333982125469700,no,Computer lab all night. Party hard.
466302193877123100,no,N/A
464736354291957760,no,N/A
4.6262494425463603e+017,yes,Still drunk 😖
468099826807492600,no,get faded turn up with the big boys live fast die young thats my choice get money get money like in the invoice
462355983017447400,yes,Love Kobe when they give me a reason to be fucked up.
465299940399251460,yes,@shickeyyyy just ACCIDENTALLY poured my beer in the funnel #yeah #YABETCH
466238975989272600,no,"@kskoals so fucked up, yet so true"
472205572973264900,no,N/A
4.7211358632451277e+017,no,N/A
466621130745585660,yes,N/A
463441969554153500,yes,Drinking a Jack Daniel's Berry Punch by Jack Daniel's Beverage Co. @ Party City — http://t.co/JSqyPyRbgr
463714358816964600,yes,todays my day off from life so i'm gonna get fucked up to cope with how shitty the world is
465611727069925400,no,N/A
464187473967325200,no,"Here's what I learned about NYC. If the apartment is nice and the price is good, you probably have to pray to not get shot coming home."
471059215810039800,yes,N/A
463105974975619100,no,You can crash my party anytime🎶
463510565676384260,yes,#WIDN listening to @Coldplay play live at the Beacon Theatre (thx @SiriusXM!) w/ a glass of wine + @lushcosmetics http://t.co/FdGYYdem84
467126853258727400,yes,N/A
472563806938619900,yes,N/A
468998870274674700,no,@deadmau5 join the club. 2 kids can do that my man!
4.7042128363809997e+017,no,Can't wait till @maxyice817 is legal drinking age so he learns pouring wine &amp; peanuts in an adult beverage is just plain stupid #GrowUpPunk
468889259844591600,no,N/A
463500665164419100,yes,N/A
467541388800696300,yes,N/A
461990087224750100,no,N/A
467354410902110200,no,"🎥 J.CLANCY'S NEW MUSIC VIDEO TITLED ""MY LIFE"" RELEASES JUNE 1ST, SHOT &amp; DIRECTED BY @PhreshVision … http://t.co/zsSXfRGnjQ 6⃣1⃣"
469343145021300740,yes,N/A
469338651575722e3,yes,It's entirely possible I have sweat give days worth of alcohol out.
463300572331139100,no,"Hahaha RT ""@NBAMemes: Kyle Lowry trying to make the series-winning shot! #BRKvsTOR http://t.co/XaP2jjKddW"""
470391548086329340,yes,It feels so good to be sitting by a fire and finally being able to look at the stars #s'mores #wine… http://t.co/anuIGi7mdD
472478814472515600,no,Get ready to turn up with my girl
461958011032854500,yes,"@FergJeffrey OMG I loveeeeee tequila. You're right, I gotta do those!"
467653077538177e3,no,Don Jon has the most fucked up ending
466146190963531800,no,The fact that I didn't even wake up to a response really fucked up my morning.
468311664509878300,no,N/A
463422298486095900,no,The fact that coach expects us to come to practice the day of prom and not go to the all-night party for our invitational day morning😂😂 no💁.
464133769817899e3,no,"“@ESPNNBA: 25 years ago today, Michael Jordan hit ""The Shot.""

http://t.co/HCaYzsIvix http://t.co/fvhtyOX9l0”😩😩😩"
4.6318818119451443e+017,no,Whoever allowed me to get an Instagram when I was 11 needs to be shot 🔫🔫
465149239006605300,no,That beautiful smell of stale beer. (@ Recycling Bin) http://t.co/QzjmaiOlZJ
465853827091275800,no,"@daveweigel I don't think the Republican/Tea Party will turn out like they did in 10, it will be a more of a regular bump in R numbers."
468073838287527940,no,"“@collegefession: ""I always take a pre party poop before a night out. #dontpoopyourpants"" - UCF” @emkitch60"
466637897895256060,no,N/A
465186002685145100,yes,"My dad really offering me some beer, things really have changed"
472579693095686140,no,N/A
470362438010155e3,no,Beautiful shot by Voynov! Perfect placement! -@LAKings
464169134478336e3,no,Soon ima hit the club and dAnce the night away missing it and music blaring
470257874569269250,no,2014 Wantuck Family Golf Tournament winners. #brothers @ Silver Creek Golf Club http://t.co/6ibYllVh96
466648583836418050,yes,N/A
47185178433647e4,no,Bron needs to take that shot with Hibbert there or not
464001520569036800,yes,N/A
467353705449156600,no,"🎥 J.CLANCY'S NEW MUSIC VIDEO TITLED ""MY LIFE"" RELEASES JUNE 1ST, SHOT &amp; DIRECTED BY @PhreshVision … http://t.co/zsSXfRGnjQ 2⃣6⃣"
466994542047399940,no,Whiskey 7 will fly from Geneseo to Normandy for the 70th Anniversary of D-Day. http://t.co/VqYdykWfUl
471835100637057e3,no,Perfect one-timer off the initial Saad shot by Ben Smith and it's tied up once again. Hold onto your butts. #Blackhawks
472205957381247e3,yes,N/A
468556986821267460,no,Late night putting at the country club is the best
4.7204698599093043e+017,yes,"time to head out for groc shopping, backyard party this weekend requires some prep... later, tweeps ::poof::"
472795930643931140,yes,This beer is tasty. http://t.co/zL2LKYK62a
462401180589891600,no,N/A
470662063682236400,yes,N/A
468962233851342850,no,N/A
471304828954869760,no,Ayee I've been invited to a party this weekend hopefully my mom will let me go
468240556561158140,no,want to have a #vh1top20 archive party to celebrate my 17 yr anniversary with the show still organizing be yrs though @JimShearer @VH1Music
462215397732016100,no,@leebrice @bigdandbubba where's my copy of when the whiskey used to burn?!? #puregold #nowthatscountry!
465189608150798340,no,@williammn34 @THEsak9599 @MicheleG_ a discount on beer is a discount on beer
466376431334064100,yes,N/A
468417729415094300,no,N/A
466585409762623500,yes,"I grew a whole lot, my wild side only come out when im drunk lol"
466430976328220700,no,N/A
466259335354785800,no,"you've seen ""the hangover"" right? something like that. RT @DragonBabyT: @EvryoneH8sChris Wait, so what's the plan when you get here?"
462397251516915700,no,N/A
468608598713851900,yes,who wants to play hit the bottle
4.6776758723833037e+017,no,In line for 20 minutes. Is this Shake Shack? (@ Cornell Dairy Bar - @cornelldining) http://t.co/tCAE95JdQW
462021046401785860,no,“@TheTumblrPosts: The amount of effort I put in when I hear drunk in love https://t.co/vOq2eOovI3” can I have him... Please? 😍😍
4.6281222008722637e+017,no,N/A
466415035930406900,no,N/A
472465479475683300,yes,"Wings, beer &amp; Breaking Bad. This... is Man Day. @eloy_de_la_hoz"
466387996686946300,no,N/A
469815153018802200,yes,N/A
468198835886751740,no,wouldn't be kesha if she wasn't drunk
468968926236643300,no,I wasted an hour of my life watching the ink master finale. What a joke. #inksausage #shouldhavewon
469120992304840700,yes,Can you say hangover ...
464587017159213060,no,N/A
472094683418882050,yes,@K_M_Wx2 @Bianca_Pitonzo katie get drunk with us
472861527490707460,yes,wine tasting was a success .
471650677157265400,no,“@GabriellleBlack: Dylan is so shot OMG” haha chilllll😂
466315779403943940,yes,N/A
466272868431831040,yes,"And go on a wine tour, yeah that sounds perfect 🍷"
471815695991582700,yes,N/A
471852481744338940,no,N/A
462314601238237200,no,"I'm at Sam's Club (Syracuse, NY) http://t.co/9bJV9qVERN"
470649471056220160,no,"I'm at Downtown Fitness Club (Rochester, NY) http://t.co/Wf7n9f5yqe"
466994752492036100,yes,N/A
470769107504078850,no,Sike i might get shot i see nothing but niggas
463928977195679740,yes,N/A
4.6602448072096563e+017,yes,N/A
469241849446940700,no,"Oh my god, Patrick's graduation/ send off party is a month from today.... I am so not prepared😭"
464833916491550700,yes,I need an alcoholic beverage in my hand  🍺🍹🍷🍸
467643371666698240,yes,N/A
472842263819587600,no,N/A
4.6516701788531917e+017,yes,"""@williammn34: @THEsak9599 beer cracked, ahhh #Cheers"" 🍻"
467354976067784700,no,"🎥 J.CLANCY'S NEW MUSIC VIDEO TITLED ""MY LIFE"" RELEASES JUNE 1ST, SHOT &amp; DIRECTED BY @PhreshVision … http://t.co/zsSXfRGnjQ 8⃣9⃣"
467103812084584450,yes,Bottle #2  @DrFrankWine #flxwine #lovewine http://t.co/wQCiZHqqjn
464166155012558850,no,@mgombetto @TheYellowMamba5 that made me want to finish my car to prime form so badly. Can only improve. That backward lean was nice
472163052432162800,no,N/A
464846893009604600,no,N/A
462178429681803260,no,"most of the things that happen at this school can be explained by ""it's a tradition"" and ""the seniors are drunk"""
468157903829225500,yes,N/A
466369007516672e3,no,Texas #BBQ in NY @ Dinosaur Bar-B-Que http://t.co/FyIZAU6Qq5
470743938412728300,no,Well tonight's now wasted ☺️
467043434843602940,yes,N/A
463110582565355500,yes,@muhrissaedwards Winnie told me to drink a bottle of wine and Jen told me to take a shot!!!
465191835238150140,no,"@Son_Gatos_Aqui yo i swear me and u are literally on the same music vibe daily, its fucked up"
4.6530084675099443e+017,yes,Jäger and root beer 😍😍
466773756124622850,no,"My name is Alan, andddd I like to party"
467761219345342460,yes,"@J_Angelicola what, drunk?"
472630896215228400,no,N/A
469946033322348540,yes,N/A
468063659613491200,no,Great move and shot
472621583618805760,no,N/A
466904175054704640,no,N/A
466657865088790500,no,N/A
466754791792988160,no,Turnup brhandi
4.7067716690117837e+017,yes,"Parents came by, grill is fired up and having a cocktail! http://t.co/b8ZIN0cHXR"
4.7173097447754957e+017,no,@GillianGravel10 dropped me off at Wegmans to return my bottles &amp; went to the liquor store. I don't think she's coming back for me. #orphan
468192444342087700,no,@kaleighlynn416 she fucked up her like speech because she couldn't read
465375822023385100,yes,N/A
463086312577175550,yes,Bullpen=more alcohol
462073378057109500,no,I'm so fucking shot man I just opened my door hit myself in the face now my lip is bleeding. ..Wtf have I done bad lately ?
472521580141371400,yes,N/A
